Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.583333,0.604167,0.583333,0.604167,0.499700,50400
1980-03-24,0.604167,0.604167,0.567708,0.567708,0.469546,14400
1980-03-31,0.562500,0.562500,0.505208,0.515625,0.426468,52800
1980-04-07,0.515625,0.520833,0.510417,0.510417,0.422161,4800
1980-04-14,0.510417,0.520833,0.500000,0.520833,0.430776,36000
1980-04-21,0.520833,0.520833,0.520833,0.520833,0.430776,24000
1980-04-28,0.520833,0.531250,0.520833,0.531250,0.439392,14400
1980-05-05,0.531250,0.531250,0.531250,0.531250,0.439392,9600
1980-05-12,0.541667,0.593750,0.541667,0.593750,0.491084,213600
1980-05-19,0.593750,0.625000,0.583333,0.625000,0.516931,64800
1980-05-26,0.625000,0.630208,0.619792,0.625000,0.516931,9600
1980-06-02,0.625000,0.625000,0.609375,0.625000,0.516931,31200
1980-06-09,0.619792,0.625000,0.609375,0.625000,0.516931,14400
1980-06-16,0.625000,0.625000,0.625000,0.625000,0.516931,48000
1980-06-23,0.630208,0.630208,0.625000,0.625000,0.516931,74400
1980-06-30,0.625000,0.625000,0.609375,0.609375,0.504008,14400
1980-07-07,0.609375,0.625000,0.609375,0.619792,0.512623,60000
1980-07-14,0.619792,0.625000,0.609375,0.609375,0.504008,86400
1980-07-21,0.609375,0.614583,0.609375,0.614583,0.508316,9600
1980-07-28,0.614583,0.635417,0.614583,0.635417,0.525547,64800
1980-08-04,0.635417,0.635417,0.619792,0.619792,0.512623,127200
1980-08-11,0.619792,0.625000,0.619792,0.625000,0.516931,28800
1980-08-18,0.619792,0.619792,0.609375,0.609375,0.504008,40800
1980-08-25,0.609375,0.619792,0.604167,0.604167,0.499700,62400
1980-09-01,0.604167,0.604167,0.604167,0.604167,0.499700,48000
1980-09-08,0.604167,0.625000,0.604167,0.625000,0.516931,81600
1980-09-15,0.625000,0.651042,0.619792,0.651042,0.538470,88800
1980-09-22,0.656250,0.671875,0.656250,0.666667,0.551393,62400
1980-09-29,0.666667,0.666667,0.656250,0.656250,0.542778,57600
1980-10-06,0.656250,0.661458,0.651042,0.661458,0.547086,12000
1980-10-13,0.661458,0.661458,0.614583,0.614583,0.508316,36000
1980-10-20,0.625000,0.625000,0.619792,0.619792,0.512623,24000
1980-10-27,0.619792,0.619792,0.593750,0.593750,0.491084,33600
1980-11-03,0.588542,0.609375,0.588542,0.609375,0.504008,19200
1980-11-10,0.609375,0.635417,0.609375,0.614583,0.508316,115200
1980-11-17,0.614583,0.614583,0.609375,0.609375,0.504008,31200
1980-11-24,0.609375,0.609375,0.583333,0.583333,0.482469,9600
